mapa terenu: lwierszy = 40, lkolumn = 40
MojObiekt->iID = 443
MojObiekt->iID = 41
MojObiekt->iID = 467
MojObiekt->iID = 334
P.y = 18.353598, Pt.y = 0.000000, Q.y = 18.353598, Qt.y = 0.000000, R.y = 18.353598, Rt.y = 0.000000, S.y = 18.353598, St.y = 0.000000
P.y = 18.255325, Pt.y = 0.000000, Q.y = 18.255325, Qt.y = 0.000000, R.y = 18.255325, Rt.y = 0.000000, S.y = 18.255325, St.y = 0.000000
P.y = 18.154205, Pt.y = 0.000000, Q.y = 18.154205, Qt.y = 0.000000, R.y = 18.154205, Rt.y = 0.000000, S.y = 18.154205, St.y = 0.000000
P.y = 18.050238, Pt.y = 0.000000, Q.y = 18.050238, Qt.y = 0.000000, R.y = 18.050238, Rt.y = 0.000000, S.y = 18.050238, St.y = 0.000000
P.y = 17.943420, Pt.y = 0.000000, Q.y = 17.943420, Qt.y = 0.000000, R.y = 17.943420, Rt.y = 0.000000, S.y = 17.943420, St.y = 0.000000
P.y = 17.833755, Pt.y = 0.000000, Q.y = 17.833755, Qt.y = 0.000000, R.y = 17.833755, Rt.y = 0.000000, S.y = 17.833755, St.y = 0.000000
P.y = 17.721241, Pt.y = 0.000000, Q.y = 17.721241, Qt.y = 0.000000, R.y = 17.721241, Rt.y = 0.000000, S.y = 17.721241, St.y = 0.000000
P.y = 17.605879, Pt.y = 0.000000, Q.y = 17.605879, Qt.y = 0.000000, R.y = 17.605879, Rt.y = 0.000000, S.y = 17.605879, St.y = 0.000000
P.y = 17.487669, Pt.y = 0.000000, Q.y = 17.487669, Qt.y = 0.000000, R.y = 17.487669, Rt.y = 0.000000, S.y = 17.487669, St.y = 0.000000
P.y = 17.366610, Pt.y = 0.000000, Q.y = 17.366610, Qt.y = 0.000000, R.y = 17.366610, Rt.y = 0.000000, S.y = 17.366610, St.y = 0.000000
P.y = 17.242702, Pt.y = 0.000000, Q.y = 17.242702, Qt.y = 0.000000, R.y = 17.242702, Rt.y = 0.000000, S.y = 17.242702, St.y = 0.000000
P.y = 17.115946, Pt.y = 0.000000, Q.y = 17.115946, Qt.y = 0.000000, R.y = 17.115946, Rt.y = 0.000000, S.y = 17.115946, St.y = 0.000000
P.y = 16.986341, Pt.y = 0.000000, Q.y = 16.986341, Qt.y = 0.000000, R.y = 16.986341, Rt.y = 0.000000, S.y = 16.986341, St.y = 0.000000
P.y = 16.853889, Pt.y = 0.000000, Q.y = 16.853889, Qt.y = 0.000000, R.y = 16.853889, Rt.y = 0.000000, S.y = 16.853889, St.y = 0.000000
P.y = 16.718588, Pt.y = 0.000000, Q.y = 16.718588, Qt.y = 0.000000, R.y = 16.718588, Rt.y = 0.000000, S.y = 16.718588, St.y = 0.000000
P.y = 16.580439, Pt.y = 0.000000, Q.y = 16.580439, Qt.y = 0.000000, R.y = 16.580439, Rt.y = 0.000000, S.y = 16.580439, St.y = 0.000000
MojObiekt->iID = 500
P.y = 16.442616, Pt.y = 0.000000, Q.y = 16.442616, Qt.y = 0.000000, R.y = 16.442616, Rt.y = 0.000000, S.y = 16.442616, St.y = 0.000000
P.y = 16.302071, Pt.y = 0.000000, Q.y = 16.302071, Qt.y = 0.000000, R.y = 16.302071, Rt.y = 0.000000, S.y = 16.302071, St.y = 0.000000
P.y = 16.158802, Pt.y = 0.000000, Q.y = 16.158802, Qt.y = 0.000000, R.y = 16.158802, Rt.y = 0.000000, S.y = 16.158802, St.y = 0.000000
P.y = 16.012812, Pt.y = 0.000000, Q.y = 16.012812, Qt.y = 0.000000, R.y = 16.012812, Rt.y = 0.000000, S.y = 16.012812, St.y = 0.000000
P.y = 15.864097, Pt.y = 0.000000, Q.y = 15.864097, Qt.y = 0.000000, R.y = 15.864097, Rt.y = 0.000000, S.y = 15.864097, St.y = 0.000000
P.y = 15.712659, Pt.y = 0.000000, Q.y = 15.712659, Qt.y = 0.000000, R.y = 15.712659, Rt.y = 0.000000, S.y = 15.712659, St.y = 0.000000
P.y = 15.558499, Pt.y = 0.000000, Q.y = 15.558499, Qt.y = 0.000000, R.y = 15.558499, Rt.y = 0.000000, S.y = 15.558499, St.y = 0.000000
P.y = 15.401616, Pt.y = 0.000000, Q.y = 15.401616, Qt.y = 0.000000, R.y = 15.401616, Rt.y = 0.000000, S.y = 15.401616, St.y = 0.000000
P.y = 15.242011, Pt.y = 0.000000, Q.y = 15.242011, Qt.y = 0.000000, R.y = 15.242011, Rt.y = 0.000000, S.y = 15.242011, St.y = 0.000000
P.y = 15.079683, Pt.y = 0.000000, Q.y = 15.079683, Qt.y = 0.000000, R.y = 15.079683, Rt.y = 0.000000, S.y = 15.079683, St.y = 0.000000
P.y = 14.914632, Pt.y = 0.000000, Q.y = 14.914632, Qt.y = 0.000000, R.y = 14.914632, Rt.y = 0.000000, S.y = 14.914632, St.y = 0.000000
P.y = 14.746858, Pt.y = 0.000000, Q.y = 14.746858, Qt.y = 0.000000, R.y = 14.746858, Rt.y = 0.000000, S.y = 14.746858, St.y = 0.000000
P.y = 14.576361, Pt.y = 0.000000, Q.y = 14.576361, Qt.y = 0.000000, R.y = 14.576361, Rt.y = 0.000000, S.y = 14.576361, St.y = 0.000000
P.y = 14.403141, Pt.y = 0.000000, Q.y = 14.403141, Qt.y = 0.000000, R.y = 14.403141, Rt.y = 0.000000, S.y = 14.403141, St.y = 0.000000
P.y = 14.227199, Pt.y = 0.000000, Q.y = 14.227199, Qt.y = 0.000000, R.y = 14.227199, Rt.y = 0.000000, S.y = 14.227199, St.y = 0.000000
P.y = 14.048533, Pt.y = 0.000000, Q.y = 14.048533, Qt.y = 0.000000, R.y = 14.048533, Rt.y = 0.000000, S.y = 14.048533, St.y = 0.000000
P.y = 13.867146, Pt.y = 0.000000, Q.y = 13.867146, Qt.y = 0.000000, R.y = 13.867146, Rt.y = 0.000000, S.y = 13.867146, St.y = 0.000000
P.y = 13.683035, Pt.y = 0.000000, Q.y = 13.683035, Qt.y = 0.000000, R.y = 13.683035, Rt.y = 0.000000, S.y = 13.683035, St.y = 0.000000
P.y = 13.496202, Pt.y = 0.000000, Q.y = 13.496202, Qt.y = 0.000000, R.y = 13.496202, Rt.y = 0.000000, S.y = 13.496202, St.y = 0.000000
P.y = 13.306645, Pt.y = 0.000000, Q.y = 13.306645, Qt.y = 0.000000, R.y = 13.306645, Rt.y = 0.000000, S.y = 13.306645, St.y = 0.000000
P.y = 13.114367, Pt.y = 0.000000, Q.y = 13.114367, Qt.y = 0.000000, R.y = 13.114367, Rt.y = 0.000000, S.y = 13.114367, St.y = 0.000000
P.y = 12.919364, Pt.y = 0.000000, Q.y = 12.919364, Qt.y = 0.000000, R.y = 12.919364, Rt.y = 0.000000, S.y = 12.919364, St.y = 0.000000
P.y = 12.721639, Pt.y = 0.000000, Q.y = 12.721639, Qt.y = 0.000000, R.y = 12.721639, Rt.y = 0.000000, S.y = 12.721639, St.y = 0.000000
P.y = 12.521191, Pt.y = 0.000000, Q.y = 12.521191, Qt.y = 0.000000, R.y = 12.521191, Rt.y = 0.000000, S.y = 12.521191, St.y = 0.000000
P.y = 12.318020, Pt.y = 0.000000, Q.y = 12.318020, Qt.y = 0.000000, R.y = 12.318020, Rt.y = 0.000000, S.y = 12.318020, St.y = 0.000000
P.y = 12.112126, Pt.y = 0.000000, Q.y = 12.112126, Qt.y = 0.000000, R.y = 12.112126, Rt.y = 0.000000, S.y = 12.112126, St.y = 0.000000
P.y = 11.903510, Pt.y = 0.000000, Q.y = 11.903510, Qt.y = 0.000000, R.y = 11.903510, Rt.y = 0.000000, S.y = 11.903510, St.y = 0.000000
P.y = 11.692171, Pt.y = 0.000000, Q.y = 11.692171, Qt.y = 0.000000, R.y = 11.692171, Rt.y = 0.000000, S.y = 11.692171, St.y = 0.000000
P.y = 11.478109, Pt.y = 0.000000, Q.y = 11.478109, Qt.y = 0.000000, R.y = 11.478109, Rt.y = 0.000000, S.y = 11.478109, St.y = 0.000000
P.y = 11.261325, Pt.y = 0.000000, Q.y = 11.261325, Qt.y = 0.000000, R.y = 11.261325, Rt.y = 0.000000, S.y = 11.261325, St.y = 0.000000
P.y = 11.041818, Pt.y = 0.000000, Q.y = 11.041818, Qt.y = 0.000000, R.y = 11.041818, Rt.y = 0.000000, S.y = 11.041818, St.y = 0.000000
P.y = 10.819588, Pt.y = 0.000000, Q.y = 10.819588, Qt.y = 0.000000, R.y = 10.819588, Rt.y = 0.000000, S.y = 10.819588, St.y = 0.000000
P.y = 10.594634, Pt.y = 0.000000, Q.y = 10.594634, Qt.y = 0.000000, R.y = 10.594634, Rt.y = 0.000000, S.y = 10.594634, St.y = 0.000000
P.y = 10.366958, Pt.y = 0.000000, Q.y = 10.366958, Qt.y = 0.000000, R.y = 10.366958, Rt.y = 0.000000, S.y = 10.366958, St.y = 0.000000
P.y = 10.136559, Pt.y = 0.000000, Q.y = 10.136559, Qt.y = 0.000000, R.y = 10.136559, Rt.y = 0.000000, S.y = 10.136559, St.y = 0.000000
P.y = 9.903437, Pt.y = 0.000000, Q.y = 9.903437, Qt.y = 0.000000, R.y = 9.903437, Rt.y = 0.000000, S.y = 9.903437, St.y = 0.000000
P.y = 9.667592, Pt.y = 0.000000, Q.y = 9.667592, Qt.y = 0.000000, R.y = 9.667592, Rt.y = 0.000000, S.y = 9.667592, St.y = 0.000000
P.y = 9.429025, Pt.y = 0.000000, Q.y = 9.429025, Qt.y = 0.000000, R.y = 9.429025, Rt.y = 0.000000, S.y = 9.429025, St.y = 0.000000
P.y = 9.187735, Pt.y = 0.000000, Q.y = 9.187735, Qt.y = 0.000000, R.y = 9.187735, Rt.y = 0.000000, S.y = 9.187735, St.y = 0.000000
P.y = 8.943722, Pt.y = 0.000000, Q.y = 8.943722, Qt.y = 0.000000, R.y = 8.943722, Rt.y = 0.000000, S.y = 8.943722, St.y = 0.000000
P.y = 8.696986, Pt.y = 0.000000, Q.y = 8.696986, Qt.y = 0.000000, R.y = 8.696986, Rt.y = 0.000000, S.y = 8.696986, St.y = 0.000000
P.y = 8.447528, Pt.y = 0.000000, Q.y = 8.447528, Qt.y = 0.000000, R.y = 8.447528, Rt.y = 0.000000, S.y = 8.447528, St.y = 0.000000
P.y = 8.195347, Pt.y = 0.000000, Q.y = 8.195347, Qt.y = 0.000000, R.y = 8.195347, Rt.y = 0.000000, S.y = 8.195347, St.y = 0.000000
P.y = 7.940442, Pt.y = 0.000000, Q.y = 7.940442, Qt.y = 0.000000, R.y = 7.940442, Rt.y = 0.000000, S.y = 7.940442, St.y = 0.000000
P.y = 7.682815, Pt.y = 0.000000, Q.y = 7.682815, Qt.y = 0.000000, R.y = 7.682815, Rt.y = 0.000000, S.y = 7.682815, St.y = 0.000000
P.y = 7.422464, Pt.y = 0.000000, Q.y = 7.422464, Qt.y = 0.000000, R.y = 7.422464, Rt.y = 0.000000, S.y = 7.422464, St.y = 0.000000
P.y = 7.159391, Pt.y = 0.000000, Q.y = 7.159391, Qt.y = 0.000000, R.y = 7.159391, Rt.y = 0.000000, S.y = 7.159391, St.y = 0.000000
P.y = 6.893596, Pt.y = 0.000000, Q.y = 6.893596, Qt.y = 0.000000, R.y = 6.893596, Rt.y = 0.000000, S.y = 6.893596, St.y = 0.000000
P.y = 6.625077, Pt.y = 0.000000, Q.y = 6.625077, Qt.y = 0.000000, R.y = 6.625077, Rt.y = 0.000000, S.y = 6.625077, St.y = 0.000000
P.y = 6.353836, Pt.y = 0.000000, Q.y = 6.353836, Qt.y = 0.000000, R.y = 6.353836, Rt.y = 0.000000, S.y = 6.353836, St.y = 0.000000
P.y = 6.079872, Pt.y = 0.000000, Q.y = 6.079872, Qt.y = 0.000000, R.y = 6.079872, Rt.y = 0.000000, S.y = 6.079872, St.y = 0.000000
P.y = 5.803185, Pt.y = 0.000000, Q.y = 5.803185, Qt.y = 0.000000, R.y = 5.803185, Rt.y = 0.000000, S.y = 5.803185, St.y = 0.000000
P.y = 5.523776, Pt.y = 0.000000, Q.y = 5.523776, Qt.y = 0.000000, R.y = 5.523776, Rt.y = 0.000000, S.y = 5.523776, St.y = 0.000000
P.y = 5.241643, Pt.y = 0.000000, Q.y = 5.241643, Qt.y = 0.000000, R.y = 5.241643, Rt.y = 0.000000, S.y = 5.241643, St.y = 0.000000
P.y = 4.956788, Pt.y = 0.000000, Q.y = 4.956788, Qt.y = 0.000000, R.y = 4.956788, Rt.y = 0.000000, S.y = 4.956788, St.y = 0.000000
P.y = 4.669209, Pt.y = 0.000000, Q.y = 4.669209, Qt.y = 0.000000, R.y = 4.669209, Rt.y = 0.000000, S.y = 4.669209, St.y = 0.000000
P.y = 4.378909, Pt.y = 0.000000, Q.y = 4.378909, Qt.y = 0.000000, R.y = 4.378909, Rt.y = 0.000000, S.y = 4.378909, St.y = 0.000000
P.y = 4.085885, Pt.y = 0.000000, Q.y = 4.085885, Qt.y = 0.000000, R.y = 4.085885, Rt.y = 0.000000, S.y = 4.085885, St.y = 0.000000
P.y = 3.790138, Pt.y = 0.000000, Q.y = 3.790138, Qt.y = 0.000000, R.y = 3.790138, Rt.y = 0.000000, S.y = 3.790138, St.y = 0.000000
P.y = 3.491668, Pt.y = 0.000000, Q.y = 3.491668, Qt.y = 0.000000, R.y = 3.491668, Rt.y = 0.000000, S.y = 3.491668, St.y = 0.000000
P.y = 3.190476, Pt.y = 0.000000, Q.y = 3.190476, Qt.y = 0.000000, R.y = 3.190476, Rt.y = 0.000000, S.y = 3.190476, St.y = 0.000000
P.y = 2.886561, Pt.y = 0.000000, Q.y = 2.886561, Qt.y = 0.000000, R.y = 2.886561, Rt.y = 0.000000, S.y = 2.886561, St.y = 0.000000
P.y = 2.579923, Pt.y = 0.000000, Q.y = 2.579923, Qt.y = 0.000000, R.y = 2.579923, Rt.y = 0.000000, S.y = 2.579923, St.y = 0.000000
P.y = 2.270562, Pt.y = 0.000000, Q.y = 2.270562, Qt.y = 0.000000, R.y = 2.270562, Rt.y = 0.000000, S.y = 2.270562, St.y = 0.000000
P.y = 1.958479, Pt.y = 0.000000, Q.y = 1.958479, Qt.y = 0.000000, R.y = 1.958479, Rt.y = 0.000000, S.y = 1.958479, St.y = 0.000000
P.y = 1.643672, Pt.y = 0.000000, Q.y = 1.643672, Qt.y = 0.000000, R.y = 1.643672, Rt.y = 0.000000, S.y = 1.643672, St.y = 0.000000
P.y = 1.326143, Pt.y = 0.000000, Q.y = 1.326143, Qt.y = 0.000000, R.y = 1.326143, Rt.y = 0.000000, S.y = 1.326143, St.y = 0.000000
